name,ndex,category,bio,type1,type2,predicted_type1,predicted_type2,match_score,binary_match_score,raw_output,input_tokens,output_tokens,total_tokens
Mime Jr.,439,Mime,"[NAME] is a small, pink Pokemon with dark-blue legs and a ""hat"", which appears crooked and has a white ball on it. A red bump appears on its stomach and a typical red clown nose appears on its face. It has slender arms and small hands.

[NAME] has a knack for imitating others, though is not very good at it; it can easily pick up the emotions of those around it and imitate them. It has been known to mimic its foes in order to create distractions. Once the foe is confused, it will quickly escape. In Galar, [NAME] tends to idolize and imitate its final evolved form Mr. Rime, which are widely popular in the region for their talent in tap-dancing. By practicing their dance steps, they eventually evolve into a Galarian Mr. Mime. It likes places where many people gather and has often been seen visiting marketplaces filled with people. As mentioned in the Sleep Style Dex, [NAME] can found sleeping on a pantomimed bed on rare occasions. Even when sleeping, [NAME] puts a lot of effort into mimicking its Evolution Mr. Mime.

Prior to Generation VI and in Generation VIII, [NAME] and its evolved form, Mr. Mime, were the only known Pokemon that could have Filter as an Ability.",Psychic,Fairy,Psychic,Fairy,1.0,1,"[""Psychic"", ""Fairy""]",532,14,546
Greedent,820,Greedy,"[NAME] is a bipedal, squirrel-like Pokemon with a tan and brown plump body, a buck tooth, orange nose, stumpy limbs, and a huge tail twice as long as its body. It has a darker brown area on its cheeks that can also be found on its chest, the underside of its tail, and the tips of its ears. Its fur is fluffy and messy. It also has orange freckles on its big cheeks and orange inside of its ears. Its eyes are a black oval-shape with white pupils, with a ring of light brown fur surrounding them.

True to its name, [NAME] is extremely greedy and gluttonous. [NAME] constantly gathers Berries and stuffs them into its tail; it will run to gather Berries even if it's in the middle of a battle. It stuffs its tail with so many Berries that they fall out constantly, especially when it is hit or faints. It may also stash Bounsweet in its tail, as it considers the latter's sweet scent to be attractive. Dimwitted, [NAME] will not often notice the loss of the food they store. Its sharp teeth are strong enough to gnaw through the strongest of Berry shells.

[NAME] and its pre-evolved form, Skwovet, are the only known Pokemon capable of learning the move Stuff Cheeks by leveling up.",Normal,,Normal,,1.0,0,"[""Normal""]",546,9,555
Annihilape,979,Rage Monkey,"[NAME] is a simian Pokemon with a round body that is situated on two thin legs with black shackles around its ankles. It is covered in shaggy grey fur that streams upward and fades to white as it seems to evaporate. Its shaggy ear fur usually hangs down but tends to stream upwards while [NAME] is in battle. Unlike Primeape and Mankey, [NAME]'s skin is a dark grey. The metal shackle on its left arm is broken while it appears to have no shackle at all on the right arm. It is also able to greatly increase the size of its unshackled arm. [NAME] has three-fingered hands and two-toed feet. There are multiple throbbing veins on the left side of its face, with a large pink pig-like snout as well. Its eyes are red as if the creature were in an extreme rage.

[NAME] evolved from Primeape when the rage in its soul became too much for its physical form to contain; it gained increased power as a result of its spirit no longer being limited by the flesh. The rage that was bubbling inside fills its punches with force that frightens its targets to their core.

[NAME] and its pre-evolved form, Primeape, are the only known Pokemon capable of learning the move Rage Fist.",Fighting,Ghost,Fighting,Ghost,1.0,1,"[""Fighting"", ""Ghost""]",539,77,616
Mantine,226,Kite,"[NAME] is a large, ray-like Pokemon. Its body is dark blue on the overside, and it has large wing-like fins, with a black ring-shaped mark on the top of either fin, and a jagged outline on the front rim at the bottom. Its head has two long protrusions resembling horns or antennae, and two more black ring-shaped marks on the back. Two pairs of gills are visible on its pinkish gray underside, as well as a pair of beady eyes and a small mouth. Its body has a coarse texture.

[NAME] thrives in open seas where it swims freely, often in schools where they race one another. It can breach out of the water and fly 300 feet (100 meters) into the air if it builds up enough speed. In the past, it was often misidentified as a bird Pokemon by observers who saw this behavior. [NAME] is sometimes seen with a Remoraid attached to the underside of one of its fins, scavenging for its leftovers and fighting together with it when attacked. [NAME] has a docile nature, and does not mind the Remoraid clinging onto its fin.

In Alola, many surfers ride waves and travel between islands on the backs of [NAME]. This has made it an icon in the region, being featured on souvenir postcards and posters.",Water,Flying,Water,Flying,1.0,1,"[""Water"", ""Flying""]",541,12,553
Rhyhorn,111,Spikes,"[NAME] is a rhinoceros-like Pokemon with a body covered in gray, rocky plates. Its underside and rear are smooth, and it has four short legs with two claws on each foot. It has a triangular head with narrow, red eyes, two fangs protruding from its upper jaw, small, triangular openings on the upper sides, and a short horn on the tip of its snout. A female will have a shorter horn than a male. A spiked ridge runs along its back. In addition to its rocky hide, its bones are a thousand times harder than human bones.

[NAME]'s brain is very small, giving it a one-track mind. When it runs, it forgets why it started and continues until it falls asleep. However, it may recall the reason for demolishing something. Due to its short legs, it is inept at turning and can only run in straight lines. It does not care if obstacles get in the way, merely smashing through them or sending them flying, although it may feel pain the day after a collision. This personality is how Rhyorn expands its territory. [NAME] is powerful enough to shatter skyscrapers or mountains instantly after charging forward with head tackles. [NAME] lives in rough terrain. A [NAME]'s territory expands to six miles.",Ground,Rock,Ground,Rock,1.0,1,"[""Ground"", ""Rock""]",533,12,545
Houndour,228,Dark,"[NAME] is a quadrupedal, canine Pokemon with short, black fur and a red underbelly and muzzle. Its ears and tail are both short and pointed. Two fangs protrude from its upper jaw, and its triangular nose is black. There are white bands on its ankles and rib-like ridges on its back. [NAME] appears to have a simplistic, stylized skull on its forehead with the eye orbits creating eyebrow patterning above its actual eyes. It also has circular, red paw pads on each of its three-toed paws.

[NAME] is an intelligent Pokemon that forms packs to hunt for prey and shows unparalleled teamwork. As seen in the ''Pokemon the Series'' episode ''Hour of the [NAME]'', it will not abandon a pack member who is sick. It communicates using various barks and howls. Barks are used to determine the location of a pack member during a hunt, which only they can understand, while howls are used as a declaration of ownership over territory. They are known to be loyal and obedient to their Trainers. [NAME] can typically be found around rough terrain. As mentioned in Sleep, [NAME] is known to howl while it sleeps. It is believed that [NAME] is dreaming of hunting alongside the rest of its pack.",Dark,Fire,Dark,,0.5,0,"[""Dark""]",530,73,603
Tyrogue,236,Scuffle,"[NAME] is a humanoid  Pokemon with a predominantly pale purple body and brown hips and feet that resemble short pants and shoes. It has three blunt protrusions on top of its head, yellow eyes, and circular sections on each side of its head that resemble protective padding. There are white bands resembling bandages on its torso and wrists. It has thin limbs, and its hands have three fingers each. [NAME] is a male-only species with no female counterpart.

[NAME] is famous for its eagerness to compete and boundless energy, to such an extent that it will challenge anyone, even larger foes. This is the famous intense desire that [NAME] is known for. Determined to make itself stronger, [NAME] will not quit no matter how many times it loses. While it is small, [NAME] should not be ignored as it can slug a target without warning. As a result, it is always nursing its injuries from fighting opponents larger than itself. As [NAME] becomes stressed if it is not able to train every day, its Trainer must maintain a regular training schedule. It is usually found in urban areas. The training [NAME] does influences its possible Evolution into  either Hitmonlee, Hitmonchan, or Hitmontop.",Fighting,,Fighting,,1.0,0,"[""Fighting""]",524,10,534
Skuntank,435,Skunk,"[NAME] is a medium-sized mammalian Pokemon that resembles a skunk with a cat-like face. It has purple, spiky fur with several tan stripes. The whiskers present on its pre-Evolution have since vanished or have been replaced by furry purple tufts on the sides of [NAME]'s face. Its legs are tan, and the tan coloration of its underside now forms a spiky pattern. Its nose is larger than its pre-Evolution. Its massive tail, which has a cream-colored stripe, sits on top of its back and head.

[NAME] is known for its noxious fluid which smells dreadful. It can spray this fluid over 160 feet (50 meters), and the longer it allows the liquid to ferment within its belly, the more powerful the smell. Unlike its pre-Evolution and real-life skunks, which spray fluids from their rears, [NAME] sprays its fluid from its tail tip, which can open. The stench of [NAME]'s fluid varies depending on its diet. [NAME] prefers to nest in large, prickly bushes in heavily wooded areas and digs holes in the ground to make its nest. While [NAME] can use its poisonous fluids to take down prey, ironically it cannot handle the smell of its own stench, abandoning potential defeated meals as a result.",Poison,Dark,Poison,Dark,1.0,1,"[""Poison"", ""Dark""]",536,13,549
Pawmot,923,Hands-On,"[NAME] is a stout, bipedal, rodent-like Pokemon that has a body that is almost entirely orange, with tan colorations on its forepaws, snout, and long, fluffy tail, and green on the insides of its ears. Its face has beady brown eyes, a tiny nose, and yellow electric sacs on its cheeks. It has shaggy tufts of fur on its forehead and near its ears, as well as on its neck which forms a collar. [NAME] has five fingers on its considerably large forelimbs, which stretch down to its tiny feet. The colorations on its forelimbs create a zigzag pattern. It has yellow pads on its forepaws which turn teal-blue when it uses electric attacks.

Although [NAME]'s reaction speed is normally low, it is able to strike opponents with fast movements when battling. The fluffy fur on its body acts like a battery, allowing [NAME] to store as much electricity as in an electric car. As mentioned in Pokemon Sleep, [NAME] has a peaceful personality. On occasion, [NAME] will heal injured Pokemon by discharging electricity from its forepaws. If [NAME] raises its paws while it sleeps, it is possibly dreaming of tending to other Pokemon.

[NAME] is the only known Pokemon capable of learning the move Double Shock.",Electric,Fighting,Electric,Fairy,0.5,0,"[""Electric"", ""Fairy""]",542,205,747
Wo-Chien,1001,Ruinous,"[NAME] is a snail-like Pokemon comprising a dark-green mossy form covered in dead green and yellow leaves. Two pairs of long, curling vines form its eyestalks, which contain eyes with green eyelids, orange sclerae, and pale greenish pupils. A long row of wooden tablets curled around its backside forms its shell. Wooden tablets were once used as a writing medium in the East during ancient times, although the inscriptions written on the particular set forming [NAME]'s shell have become too faded to be read.

Like the other treasures of ruin, [NAME]'s true form is the row of wooden writing tablets forming its shell, having been given life by the grudges of the person punished for writing the evil deeds of a king on them long ago — while its body is a form it has constructed using its control over plant matter. [NAME] is able to drain the life force of vegetations in a wide area around it, causing entire forests and fields to instantly become barren. It is known as the Tablets of Ruin.

[NAME] and the other treasures of ruin are the only known Pokemon capable of learning the move Ruination. [NAME] is also the only known Pokemon that can have Tablets of Ruin as an Ability.-",Dark,Grass,Grass,Ghost,0.0,0,"[""Grass"", ""Ghost""]",522,204,726
Ivysaur,2,Seed,"[NAME] is a quadrupedal amphibian Pokemon that has blue-green skin with darker patches. On top of its head are pointed ears with black insides, and it has narrow red eyes. [NAME] has a short, rounded snout with a wide mouth and two pointed teeth in its upper jaw. Each of its feet has three claws on them. The bulb on its back has bloomed into a giant pink bud. A short brown trunk surrounded by leafy green fronds supports the bud.

The weight of the plant prevents [NAME] from running fast and standing on its hind legs, forcing its legs to grow sturdy. When its flower is ready to bloom, it gives off a distinct, sweet-smelling aroma and starts swelling. [NAME] will also start spending more time in sunlight in preparation for its upcoming Evolution. Exposure to sunlight adds to the strength of both [NAME] and its plant. As shown in Pokemon Sleep, [NAME] is known to sleep in sunny spots while undergoing its photosynthesis process. Researchers cannot decide if [NAME] is awake or asleep during this process. [NAME] has four different sleep styles it sleeps in: ''Sunbathing Sleep'', ''Sturdy Sleep'', ''Vines-Out Sleep'', and ''Atop-Belly Sleep''. [NAME] are typically found in plains.",Grass,Poison,Grass,Poison,1.0,1,"[""Grass"", ""Poison""]",533,13,546
Nosepass,299,Compass,"[NAME] is a blue, angular, bipedal Pokemon that closely resembles a Moai. Its bright red, triangular nose is highly magnetic and slightly resembles a 3D arrow. This nose functions as an electromagnet and always points north. [NAME]'s body is composed of a durable substance resembling volcanic rock. It has arms and legs without any visible joints and small, circular holes on the undersides. Its arms resemble compass needles. It has similar circular holes on the sides of its head. Its eyes, covered by dark, somewhat mask-like markings, have the appearance of being closed.

[NAME] cannot go near others, since it would repel them with its magnetic nose. Its magnetism becomes stronger in cold seasons. To protect itself when in danger, it raises its magnetism and draws iron objects to its body. This technique is also used to capture prey, though it can pull natural enemies close too. Because it always points north, [NAME] has historically been used as a compass for travelers. [NAME] only moves a little over 3/8 of an inch each year, but can quickly spin its body into the ground like a drill during emergency situations. It lives in caves. Metang are natural predators of [NAME].",Rock,,Rock,,1.0,0,"[""Rock""]",519,73,592
Qwilfish,211,Balloon,"[NAME] is a sea dwelling piscine Pokemon with a spherical body and a flat, paddle-shaped tail. The upper half of its body is dark teal and the lower half is light greenish-yellow. Its tail is tall and thin with a dark teal outline, light greenish-yellow inside, and two dark teal dots in the center that resemble the Japanese character ハ ''Ha''. Its eyes are even with its body and are always seen slanted angrily. Below its eyes are its puffy pink lips. All around its body are sharp, conical spikes, which evolved from scales over time.

In order to attack, [NAME] drinks over 2.6 gallons (10 litres) of water to inflate its body. It then uses the water pressure to shoot poisonous quills at its foe, which can cause fainting. [NAME] is briefly left defenseless shortly after firing its quills; this is believed by some expert fishers to be the opportune moment to catch this Pokemon. Due to its round body, [NAME] is not a great swimmer, and when filled with water it is even harder for it to swim. When [NAME] faces a larger opponent, it will inflate its body to match its size as close as it can. If it is startled while inflated, it will spit out all its water, propelling itself away.",Water,Poison,Water,Poison,1.0,1,"[""Water"",""Poison""]",540,76,616
Drapion,452,Ogre Scorpion,"[NAME] is a large, purple, scorpion-like Pokemon. Its eyes are a pointed shape, with blue-colored upper portions. [NAME] has two small, pointed protrusions between its eyes and one on the back of its head. [NAME] also has protrusions on its jaws, two on the upper and three on the lower, with large, fang-like, white-colored features extending from its mouth. Its body is composed of many violet-to-lavender body segments which end with a tail with two stingers. [NAME] has four segmented legs with pointed toes. Its most distinguishing feature is its huge claws. It can turn its head 180 degrees.

[NAME] is a very aggressive Pokemon, attacking anything that enters its territory. It primarily lives in deserts and otherwise rocky environments. [NAME] has a sturdy build and takes pride in its strength, being able to take down foes even without the use of its deadly toxin. [NAME] has enough power to easily scrap a car, while its hard, armor-like skin can deflect sword strikes. [NAME] is feared as the ""Sand Demon"", due to its vicious nature and brutish temperament. It is known to avoid confrontations with Hippowdon. [NAME] tends to go on rampages and causes havoc on anything in its way.",Poison,Dark,Poison,Dark,1.0,1,"[""Poison"", ""Dark""]",533,205,738
Cranidos,408,Head Butt,"[NAME] is a gray, dinosaur-like Pokemon resembling the Pachycephalosaurus. It has a hooked beak, red irises, and a hard, blue, dome-shaped head with four spikes on its back. The hard skull is considered to be [NAME]'s most distinguishing feature. It has stubby arms with three claws; despite the stubbiness, it can attack with them. The back half of its body has a large, spiky pattern of blue and it has a short tail. It has feet with three forward claws and one backward.

Its main attacking prowess involves charging head-first into its opponents. When it lived in dense forests and jungles 100 million years ago, it would use headbutts to snap obstructing trees, down its prey, and combat Pokemon like Aerodactyl and even other [NAME]. The resulting sound of two [NAME] headbutting echoes throughout the area like the sound of the pealing of a bell. It notably lacks any intelligence. [NAME] are considered to be a rare sight to encounter. The fossilized trunks of trees snapped in two are also often found near the fossilized rock layers of [NAME] fossils. It was brought back to life from a Skull Fossil. In modern times, [NAME] can be found at the Canyon Biome located at the Terarium.",Rock,,Rock,,1.0,0,"[""Rock""]",541,137,678
Pidove,519,Tiny Pigeon,"[NAME] is a mainly gray, pigeon-like Pokemon. It has golden, oval eyes and a tuft of feathers atop its rounded head. It has a short, black beak with a bulbous pink cere, and a black patch on the nape of its neck. There is a wide, heart-shaped area of lighter coloration on its chest. [NAME]'s black wings have a thick gray stripe down the side. It has pink feet with black talons.

[NAME] is not particularly intelligent. While it always listens to its Trainer's commands, it does not always understand them. [NAME] are so forgetful that they will wait for new orders from their Trainers even if it received one right before. In Detective Pikachu, their forgetfulness extends to them not even remembering their own names. In the JN episode ''There's a New Kid in Town!'', it extends to forgetting whatever scared them. Many Trainers love [NAME] due to its friendliness and sincere nature. [NAME] loves to follow people. Having no fear of people, flocks of [NAME] are often found in city parks and plazas, though they can also be seen in grasslands and rural areas. The cooing of these flocks can be very noisy. About several hundred [NAME] are known to gather when food is scattered on the ground for them.",Normal,Flying,Normal,Flying,1.0,1,"[""Normal"", ""Flying""]",539,76,615
Sceptile,254,Forest,"[NAME] is a reptilian, bipedal Pokemon. Its neck is somewhat long, and it has two crests on its head. It has semicircular, yellow eyes with red rims. Its lower jaw and a belt-like band across its waist are also red. Along its back, it has two lines running down the middle and two rows of yellow nodules that are described as seeds. Its tail is shaped similar to that of a palm tree's branch. Both of its long arms have two sharp, elongated leaves and three claws. In Generation III, Leaf Blade was its signature move.

[NAME] is a jungle-dwelling Pokemon. It has no equals in jungle combat. The seeds on its back contain nutrients, which are said to be able to revitalize trees. As mentioned in Sleep Style Dex, it is believed that the unique seed ability of [NAME] helps nearby tree saplings grow and thrive when it is asleep. [NAME] has four different sleep styles: ''Robust Sleep'', ''Dream-Stance Sleep'', ''Tree-Tending Sleep'', and ''Atop-Belly Sleep''. It is capable of leaping freely from branch to branch. While it has the ability to slice down thick trees, it is known to care lovingly for the plants in the forest. This Pokemon regulates its body temperature by basking in the sunlight.",Grass,,Grass,,1.0,0,"[""Grass""]",539,137,676
Bouffalant,626,Bash Buffalo,"[NAME] is a bovine Pokemon with a large, dark afro on its head. Two large, curving horns, each with two golden growths resembling rings, protrude from the afro. It has a shaggy brown hide that ends at its knees and does not cover its face. A large, gray nose sits at the end of its short, beige snout, and its yellow eyes are partly hidden by its hair. There are black tear markings directly below its eyes. It has a large hump on its back. Each of its beige legs has a single, gray hoof and its tail ends in a stubby tuft of fur. 

A territorial Pokemon, it will headbutt anyone that attempts to invade its territory. However, in the BW episode ''Baffling the [NAME]!'', it is shown not to attack those with an afro hairstyle. Protected by its afro, which absorbs damage, its headbutts are strong enough to derail a train and send it flying. It can also destroy a car with just a Headbutt. The more hair a [NAME] has on its head, the higher positions it has in the herd. A herd of [NAME] consists of 20 individuals. For unclear reasons, a [NAME] loses its hair from its head should it ever betray its herd.

[NAME] is the only known Pokemon capable of learning the move Head Charge.",Normal,,Normal,,1.0,0,"[""Normal""]",549,73,622
Linoone,264,Rushing,"[NAME] is a slender-bodied, quadrupedal Pokemon. Most of its fur is colored tan, but it has several brown stripes. One long stripe stretches the length of its body before ending in an arrowhead shape on its forehead. There are additional stripes on each side of its bushy tail and on its cheeks. It has sharp, elongated claws and small pointed teeth. It has small, tuft-like ears, long cheek fur, and blue eyes.

[NAME] can run up to 100 kilometers per hour, but it can only run in a straight line, and has to stop before it can make a turn. Because of this behavior, it often fails to catch prey, and struggles on roads that are curving or winding. When it sees prey underwater in ponds, it leaps in and uses its razor-sharp claws to catch and take it down. [NAME]'s fur is strong and supple, and the shed hairs are used to make high-quality shaving brushes. As shown in the AG episode ''Showdown at [NAME]'', [NAME] has an attraction to anything round and will grab any orb-shaped object it sees if given the chance. It often carries a snatched object in its expandable cheek pouches and deposits it in any of a number of secret stashes it keeps on its territory. [NAME] tends to live in grasslands.",Normal,,Normal,,1.0,0,"[""Normal""]",541,73,614
Oddish,43,Weed,"[NAME] is a Pokemon that resembles a blue plant bulb or a root vegetable. It has a round body, beady red eyes, a small mouth, and ovoid feet. Five large, green leaves sprout from its head. As demonstrated in the ''Pokemon the Series'' episode ''Foul Weather Friends'', these leaves are prehensile and can be used to scale vertical surfaces and catch light objects. When defeated in the Pokemon Stadium series, [NAME]'s leaves fall off its head. Known by the scientific name ''Oddium Wanderus'', [NAME] lives in grasslands.

A nocturnal Pokemon, [NAME] buries its sensitive body in the ground during the day to avoid the sun and fool predators. If its leaves are pulled in this state, it will respond by shrieking horribly. It starts to move when its leaves begin absorbing moonlight, which it uses to grow. [NAME] will wander up to 1,000 feet (300 meters) during the night to scatter its seeds and find a nutrient-rich patch of soil in which to plant itself. The more fertile the earth, the glossier its leaves will be. It is thought that its feet become like tree roots while planted.

Prior to Generation II, [NAME] and its evolved forms were the only known Pokemon capable of learning the move Petal Dance.",Grass,Poison,Grass,Poison,1.0,1,"[""Grass"", ""Poison""]",539,77,616
Cofagrigus,563,Coffin,"[NAME] is a blue and yellow sarcophagus-like Pokemon with red, menacing eyes and four ebony hands that appear to be shadows. A simply designed face, which is the mask Yamask carries, is prominent on the ""forehead"" of the Pokemon. Its real face is covered up by parts that slide open when it is active. White, sharp fangs create a taunting smile, and flamboyant patterns veil the coffin. The coffin is said to be made of solid gold. [NAME] is seemingly a distant relative of Runerigus.

Ancient legends once told [NAME] could seal nearby humans in their bodies and turn them into mummies; grave robbers who mistake them for normal coffins are known to be swallowed into their bodies. [NAME] is said to have once been human but having forgotten its memories from when it was alive. Their diet typically consists of gold nuggets. It lives in tombs and ruins waiting for victims. [NAME] has been used as a symbol for the wealth of kings from a bygone era.

In a fantasy sequence depicted in ''Raid Battle in The Ruins!'', [NAME] is shown to be able to open its body like a sarcophagus.

[NAME] and its pre-Evolution, Yamask, are the only known Pokemon that can have Mummy as an Ability.",Ghost,,Ghost,,1.0,0,"[""Ghost""]",539,9,548
Wiglett,960,Garden Eel,"[NAME] is a long, white Pokemon that seems to be perpetually buried within the earth, leaving only its head and part of its body visible. It has beady dark blue eyes and a large, round, pink nose. Although [NAME] has a stated Pokedex height, it is unknown how long it really is underneath the sand, or what the rest of its body looks like.

[NAME] lives in beaches and seas, where it burrows into beach sand. It pokes part of its body out of the ground to feed. [NAME] has an exceptional sense of smell, which has a range of over 60 feet (20 meters). [NAME] is a timid and cautious Pokemon; it hides in the sand when it picks up the scents of other Pokemon, such as Veluza, nearby.

Some researchers initially mistook [NAME] for a Paldean form of Diglett due to their physical resemblance, but they are separate species and differ in habitat and diet. It is theorized that the two species ended up having similar body plans as an adaptation to suit their environments and burrowing behavior.",Water,,,,0.0,0,,493,512,1005
Pancham,674,Playful,"[NAME] is a bipedal, mammalian Pokemon that resembles a young panda. Its head and short, puffy tail are white. It has a triangular black nose, rounded black ears, black circles around its eyes, and tufts of fur on top of its head and on each cheek. Its upper body and hind feet are black, while the lower body is a dark gray. Where the two colors meet the dark gray forms a three-pointed pattern on its chest. There are three digits on each paw and small, dark brown circular pads on the soles of its black hind paws. [NAME] carries a small, green leaf in its mouth. There is no actual purpose behind this leaf, aside from an attempt to look cool.

[NAME] looks up to Pangoro as a leader and tries to emulate its behavior in an effort to learn how to battle and hunt for its prey. If [NAME] makes a big mistake, Pangoro will take away its leaf. It tries to make itself look serious to its foes, but its glare is not intimidating enough, and if it is distracted, it ends up grinning. Despite its attempts to look frightening, it cannot help grinning if patted on the head.

Prior to Generation VII, [NAME] and its evolved form, Pangoro, were the only known Pokemon capable of learning the move Parting Shot.",Fighting,,Fighting,,1.0,0,"[""Fighting""]",544,10,554
Frigibax,996,Ice Fin,"[NAME] is a stout, gray, bipedal reptilian Pokemon. Its head and facial features are large compared to the rest of its body, with eyes containing yellow sclerae and black pupils, a bulbous light gray snout with two nostrils, and a large mouth. On the left side below its lip is what appears to be a singular, square-shaped ice crystal. It has a light blue underbelly and a short tail. Its short, stubby limbs have three digits each, and it has a long, thin, yellow quill on the backs of each of its hands. As revealed in ''Roy and Fuecoco's First Snow!'' in HZ, [NAME] compare the sizes of their yellow quills to settle fights in the wild, with the one with the longest and more colorful quills winning.

[NAME] has a triangular dorsal fin located atop a large, whitish circular pattern on its back. This fin absorbs heat, which [NAME] converts into ice energy. [NAME] stores the ice energy inside its body and uses it to cool its dwelling. It stores more ice energy the greater its surrounding temperatures are. [NAME] lives in forests and rough terrains, and fights with Bergmite whenever they meet.

[NAME] and its Evolutions are the only known Pokemon that can have Thermal Exchange as an Ability.",Dragon,Ice,Ice,,0.5,0,"[""Ice""]",544,73,617
Vaporeon,134,Bubble Jet,"[NAME] is a Pokemon that shares physical traits with both aquatic and land animals. [NAME]'s body is light blue with a dark blue marking around its head and a spiky ridge down its spine. It has black eyes and a tiny black nose. There is a white fin encircling its neck and three fins with cream-colored webbing on its head. Two of these fins are on either side of its head, similar to ears; and one is directly on top of its head, resembling a dorsal fin. [NAME] is a quadruped with three small toes on each foot and dark blue paw pads on the hind feet. Its split tail fin has been mistaken for a mermaid's in the past and is believed to be the origin of mermaid folklore. It can detect moisture with its fins, which vibrate when sensing incoming rain.

[NAME] is mostly found in urban settings under the ownership of a Trainer. It is rarely seen in the wild, but it prefers clean freshwater lakes and shores. It has developed gills to become better suited to an aquatic lifestyle, and its cell composition's similarity to water allows it to melt into the water. This ability enables [NAME] to remain camouflaged while swimming, hiding itself from enemies and allowing it to ambush its prey: fish Pokemon.",Water,,Water,,1.0,0,"[""Water""]",532,9,541
Druddigon,621,Cave,"[NAME] is a large, blue, draconic Pokemon with medium-sized wings shaped like thistle leaves, although it is rarely seen flying. Its bright red head is harder than rock and is very rough. It has a set of glaring, ferocious pale yellow irises. Its arms are longer than its legs, giving it the appearance of a hunchback. It has a thick, moderately-sized tail and sharp white claws on both the hands and feet. It also has tall, conical, red spikes: three on each arm, one on each shoulder, two on each leg, and four on its tail. It has a blunt, brutal snout, bearing a maw with no discernible teeth; instead, small fang-like protrusions sprout from its jaws. It has a series of olive, ellipsoid scutes running across its belly.

[NAME] is known for its aggressive and cunning disposition. It warms its body by taking in sunlight with its wings; if its body temperature drops, it becomes immobile. It demonstrates notable physical strength and has been known to tackle opponents head-first. It nimbly chases prey around its den, using its outstretched claws to catch them. Rather than creating its own nest, [NAME] inhabits caves and tunnels dug by other Pokemon, such as Diglett, Dugtrio, Onix, and Excadrill.",Dragon,,Dragon,Grass,0.5,0,"[""Dragon"",""Grass""]",547,139,686
Salamence,373,Dragon,"[NAME] is a quadrupedal, draconic Pokemon with a long, tapering tail. It is primarily blue with a gray lower jaw and thickly scaled underside. There are red markings on its throat, the underside of its tail, and stripes on the inner surface of its legs. Additionally, there are raised red ridges above its eyes. Three flat fins protrude from either side of its head, possibly acting in the same manner that a Canard would on an aircraft. It has two pairs of pointed teeth, one in the upper jaw and one in the lower. Each of its short legs has three claws, capable of slicing through nearly any material. [NAME] is considered an unusual Pokemon due to the circumstances of its Evolution; its fervent desire to fly triggered a cellular mutation that allowed it to suddenly grow large, red wings.

Its long-held dream fulfilled at last, [NAME] constantly flies around and releases intense blasts of fire as an expression of its joy. It only stops flying when it gets exhausted and needs to sleep. If enraged, it loses all sense of self and flies into an uncontrollable rampage, destroying everything around it until it tires itself out. It lives in rough terrain, and it competes with Garchomp midair for food.",Dragon,Flying,Dragon,Fire,0.5,0,"[""Dragon"", ""Fire""]",526,76,602
Trubbish,568,Trash Bag,"[NAME] is a Pokemon which resembles a full, dark green garbage bag with a knot at the top that acts like ears. [NAME] has oval-shaped eyes and large triangular teeth that resemble broken glass. Its arms look like trash spilling out of small tears in the bag with pink and blue objects protruding out of them. Its feet are dark green and stubby.

This Pokemon was created when a mixture of domestic and industrial waste underwent a chemical reaction of some sort. [NAME] emits noxious, burp-like gases which, when inhaled, will render the victim bedridden for a week. This gas can also prove fatal when inhaled by young Pokemon and children. As evidenced in the BW episode ''Here Comes the [NAME] Squad!'', [NAME]'s ear-like tufts stand straight up when startled, are lifted if happy, and lowered if it is feeling down. Furthermore, in the same episode, it is also explained that once [NAME] befriends a person, it will cease expelling foul odors. It prefers unsanitary places, such as garbage dumps, where it finds trash and other rotten stuff such as moldy apples for food. Alolan Grimer is a common enemy of [NAME], and Alolan Muk preys on it. Galarian Weezing feed on the fumes produced by [NAME].",Poison,,Poison,,1.0,0,"[""Poison""]",539,10,549
Corviknight,823,Raven,"[NAME] is a large, avian Pokemon resembling a raven. Most of its body is a lustrous black, but its lower beak and legs have a matte color. Its feathers are tempered with steel. Its mantle, breast, belly, flanks, and scapular feathers are smooth and resemble plate armor. [NAME]'s talons, head, and upper beak are similarly armored. It has a crest above its eyes that resembles a crown, and a ruff of feathers on its throat that resemble a beard. [NAME]'s eyes have white pupils, red irises, and black sclerae.

[NAME] is said to be the strongest bird Pokemon in the Galar region, being able to scare off any Pokemon that tries to challenge it. Due to its intelligence and flying skills, [NAME] serves a Flying Taxi service company called Galar Taxi, where it transports people from one location to another. [NAME] preys on Bunnelby, and has violent territorial clashes with Skarmory. In Paldea, [NAME] is constantly attacked by Tinkatuff and its Evolution Tinkaton, who pelts it with rocks as it flies; thus, Flying Taxis in Paldea use Squawkabilly instead of [NAME] to avoid potential dangers. 

[NAME] is the only known Pokemon that can have Mirror Armor as an Ability.",Flying,Steel,Flying,Steel,1.0,1,"[""Flying"", ""Steel""]",547,76,623
